Station Number,State,Temp Min,Temp Max,DO Min,DO Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Faecal Coliform Min,Faecal Coliform Max,Total Coliform Min,Total Coliform Max
1359,UTTAR PRADESH,21,26,7.1,7.9,7.2,8.2,282,382,1.4,1.8,0.2,0.3,780,1400,2100,2800
1360,UTTAR PRADESH,21,26,7.5,8.2,7.3,8.3,298,398,1.3,2,0.2,0.3,1000,1700,2300,3200
1075,BIHAR,22,31,5,8.8,7.1,8.3,180,460,2,2.9,0,0,700,2300,140,5000
1078,BIHAR,17,30,7.2,9.8,7,8.6,214,348,1.8,2.9,0,0,500,1700,1100,5000
2568,BIHAR,16,30,7,9.5,7,8.2,210,326,1.8,2.8,0,0,500,1700,1100,5000
2570,BIHAR,20,34,7.6,9.4,7.3,8.9,218,521,2,2.9,0,0,700,2200,2000,5000
2575,BIHAR,17,36,6.2,8.6,7.2,8.5,226,967,2.2,2.8,0,0,900,3000,2200,8000
1820,BIHAR,16,30,6,8.6,7.4,8.2,221,623,2.4,2.8,0,0,800,2600,3000,5000
2562,BIHAR,17,33,6.6,9,7.3,8.8,253,518,1.8,2.9,0,0,1100,3000,3000,5000
2558,BIHAR,17,30,6.5,8.2,6.5,7.9,222,585,2.6,3,0,0,700,3000,2400,5000
2567,BIHAR,15,30,7.4,10,7.6,8.9,216,484,1.8,2.9,0,0,800,3000,3000,9000
2569,BIHAR,17,30,7,8.6,7.3,8.2,233,1150,1.8,2.9,0,0,1100,2600,3000,5000
2563,BIHAR,18,32,6.7,8,6.8,8.2,245,754,1.8,2.9,0,0,1300,5000,3800,9000
2566,BIHAR,14,35,6.2,9,7.2,7.6,116,431,2,2.8,0,0,800,2600,2400,4900
1821,BIHAR,15,30,5,9.8,7.1,8.4,275,771,2.4,2.9,0,0,1100,3100,2800,8400
2560,BIHAR,16,30,6,9.5,7,7.8,286,614,2.2,2.8,0,0,1100,3000,2800,5000
2561,BIHAR,15,29,6.9,9.2,7.2,8.4,260,478,1.9,2.9,0,0,400,2300,2400,4800
1823,BIHAR,18,30,6,9.4,7.3,8.9,216,480,2,2.8,0,0,1100,3000,2800,5000
1824,BIHAR,14,29,5.6,8.6,6.6,7.6,99.5,480,1.8,3,0,0,700,2200,2800,7000
2559,BIHAR,16,32,6.4,7.6,6.9,7.9,246,538,2.5,2.8,0,0,900,3000,3000,9000
1822,BIHAR,16,33,6.4,6.4,7,7.7,251,845,2.5,18,0,0,2100,5000,4100,16000
3327,MADHYA PRADESH,18,31,3.2,3.8,6.6,8.2,426,1544,1.6,12,0.6,2.9,2,4,40,500
3128,BIHAR,18,33,7.1,9.6,7.4,8.5,158,1180,2,2.7,0,0,500,3000,1300,9000
3309,MADHYA PRADESH,26,27,6.9,7.8,7,8.9,550,1460,1.6,6,1,4,6,600,40,1600
1365,MADHYA PRADESH,24,28,6.8,7.8,7.2,8.6,320,780,1,2.9,0.6,2.6,7,40,7,300
1366,MADHYA PRADESH,22,28,6.1,7.5,7.3,8.4,927,18620,2.9,56,0.7,7,70,1600,500,1600
2955,RAJASTHAN,18,31,4.6,6.7,7.5,9.8,210,480,0.7,1.7,0.1,1.8,4,7,7,20
1418,MADHYA PRADESH,24,31,7.2,7.9,7.2,8.4,314,520,1.2,2.6,0.1,2,4,22,40,220
1288,RAJASTHAN,19,30,5.5,7.1,7.7,8.8,240,330,0.7,1.1,0.1,1.6,4,4,7,20
1289,RAJASTHAN,19,31,4.5,6.8,7.9,9.1,270,820,0.9,3.1,0.5,1.7,7,28,93,1100
1413,RAJASTHAN,13,34,4.9,6.1,7.9,9,200,680,0.7,2.2,0.2,1.6,7,20,11,150
2126,MADHYA PRADESH,18,32,6.2,8.7,7.4,7.6,322,654,1.9,2.8,0,1.2,11,21,33,280
2954,RAJASTHAN,17,31,5,7.4,8,9,180,720,0.8,1.9,0.4,1.7,4,14,7,150
2950,RAJASTHAN,16,25,4.5,7.3,7.5,9,160,770,0.7,1.8,0.8,4.4,4,14,7,150
2951,RAJASTHAN,20,34,3.6,6.1,7.8,9.4,210,480,0.7,1.7,0.3,1.7,4,7,4,75
