Station Number,State,Temp Min,Temp Max,DO Min,DO Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Faecal Coliform Min,Faecal Coliform Max,Total Coliform Min,Total Coliform Max
1244,GUJARAT,27,34,6.8,7.9,7.4,8.3,251,433,0.9,1,0.1,0.3,8,23,23,79
1245,GUJARAT,23,30,6.2,8.4,7.6,8.5,283,554,0.3,1,0.1,0.9,4,14,21,49
1981,GUJARAT,26,33,6.2,7.9,7.6,8.1,267,460,0.9,1,0.1,0.9,13,23,46,170
1236,"MADHYA
 PRADESH",22,28,6.4,7.6,7.8,8.8,315,796,1.3,1.6,0.2,2,2,2,40,70
2100,"MADHYA
 PRADESH",19,21.2,6.5,7,7.3,8.4,197,416,1.1,2.1,0.1,1.3,2,120,21,430
2101,"MADHYA
 PRADESH",18,28,4.9,8,7.3,8.3,180,361,1.3,2.8,0.3,1.7,2,4,21,58
3305,"MADHYA
 PRADESH",2,21,7.3,10,7.3,8.4,270,468,0.5,2.4,0.2,2.4,2,39,21,250
3828,"MADHYA
 PRADESH",19,21,6.1,5.4,7,8.4,187,878,0.4,2.8,0.2,1.8,2,12,25,170
1313,MAHARASHTRA,22,27,1.8,6.9,7.2,8.2,192,973,2,9,0.1,0.1,2,30,110,350
1251,MAHARASHTRA,21,25,2.8,6.9,7.4,8.2,200,780,3,7.4,0.2,0.3,2,22,110,260
1247,GUJARAT,27,33,1.4,7.5,7.3,8.4,300,550,0.9,1.8,0.2,0.4,21,94,120,278
1248,GUJARAT,26,35,6.5,7.2,7,8.4,388,837,0.1,2.1,0.1,0.3,17,58,63,177
1982,GUJARAT,25,33,6.4,7.5,7.1,8.5,361,970,1,2.3,0.1,0.1,63,542,221,542
1983,GUJARAT,27,33,6.4,7.5,6.4,8.2,317,539,0.9,1.3,0.1,0.3,14,39,148,278
2071,GUJARAT,24,34,4.1,6.6,7.1,8,1306,43460,1.7,2.9,0.1,0.1,104,542,187,542
1250,"MADHYA
 PRADESH",22,31,6.1,8.2,7.5,8.7,320,880,1.4,4.6,0.9,4.7,2,17,40,500
2115,"MADHYA
 PRADESH",20,31.5,6.4,8.1,7.4,8.5,276,577,1.4,2.6,0.5,4.1,2,2,40,170
1281,ODISHA,22,32,6.6,8.7,7.5,8.4,138,206,0.4,1.4,0.3,4.9,2,2400,23,5400
1270,ODISHA,20,32,5.1,8.6,7.2,8.3,145,261,0.4,1.6,0.4,2.9,45,16000,78,16000
1271,ODISHA,21,32,5.4,8.3,7.3,8.3,150,293,1.5,2.9,0.4,2.8,1100,24000,3500,35000
